survey_no,treatment,mean_abund,se_abund,block,timesincestart
2,C,7.565217391304348,2.167313654552721,C,7.71428571428571
2,C,7.565217391304348,2.167313654552721,D,7.71428571428571
2,C,7.565217391304348,2.167313654552721,E,7.71428571428571
2,C,7.565217391304348,2.167313654552721,A,7.71428571428571
2,C,7.565217391304348,2.167313654552721,B,7.71428571428571
2,W,3.06,0.9260008374836429,C,7.71428571428571
2,W,3.06,0.9260008374836429,D,7.71428571428571
2,W,3.06,0.9260008374836429,E,7.71428571428571
2,W,3.06,0.9260008374836429,A,7.71428571428571
2,W,3.06,0.9260008374836429,B,7.71428571428571
3,C,0.8297872340425532,0.4038656284265774,A,9.14285714285714
3,C,0.8297872340425532,0.4038656284265774,B,9.14285714285714
3,C,0.8297872340425532,0.4038656284265774,C,9.14285714285714
3,C,0.8297872340425532,0.4038656284265774,D,9.14285714285714
3,C,0.8297872340425532,0.4038656284265774,E,9.14285714285714
3,C,0.8297872340425532,0.4038656284265774,F,9.14285714285714
3,W,0.16326530612244897,0.07904047645321259,A,9.14285714285714
3,W,0.16326530612244897,0.07904047645321259,B,9.14285714285714
3,W,0.16326530612244897,0.07904047645321259,C,9.14285714285714
3,W,0.16326530612244897,0.07904047645321259,D,9.14285714285714
3,W,0.16326530612244897,0.07904047645321259,E,9.14285714285714
3,W,0.16326530612244897,0.07904047645321259,F,9.14285714285714
4,C,0.2127659574468085,0.08010267585860968,A,11.8571428571429
4,C,0.2127659574468085,0.08010267585860968,B,11.8571428571429
4,C,0.2127659574468085,0.08010267585860968,C,11.8571428571429
4,C,0.2127659574468085,0.08010267585860968,D,11.8571428571429
4,C,0.2127659574468085,0.08010267585860968,E,11.8571428571429
4,C,0.2127659574468085,0.08010267585860968,F,11.8571428571429
4,W,0.14285714285714285,0.10514001031342675,A,11.8571428571429
4,W,0.14285714285714285,0.10514001031342675,B,11.8571428571429
4,W,0.14285714285714285,0.10514001031342675,C,11.8571428571429
4,W,0.14285714285714285,0.10514001031342675,D,11.8571428571429
4,W,0.14285714285714285,0.10514001031342675,E,11.8571428571429
4,W,0.14285714285714285,0.10514001031342675,F,11.8571428571429
5,C,1,0.2316333828527397,A,13.8571428571429
5,C,1,0.2316333828527397,B,13.8571428571429
5,C,1,0.2316333828527397,C,13.8571428571429
5,C,1,0.2316333828527397,D,13.8571428571429
5,C,1,0.2316333828527397,E,13.8571428571429
5,C,1,0.2316333828527397,F,13.8571428571429
5,W,0.30612244897959184,0.1244172867902849,A,13.8571428571429
5,W,0.30612244897959184,0.1244172867902849,B,13.8571428571429
5,W,0.30612244897959184,0.1244172867902849,C,13.8571428571429
5,W,0.30612244897959184,0.1244172867902849,D,13.8571428571429
5,W,0.30612244897959184,0.1244172867902849,E,13.8571428571429
5,W,0.30612244897959184,0.1244172867902849,F,13.8571428571429
6,C,0.2127659574468085,0.08568260068364525,A,15.7142857142857
6,C,0.2127659574468085,0.08568260068364525,B,15.7142857142857
6,C,0.2127659574468085,0.08568260068364525,C,15.7142857142857
6,C,0.2127659574468085,0.08568260068364525,D,15.7142857142857
6,C,0.2127659574468085,0.08568260068364525,E,15.7142857142857
6,C,0.2127659574468085,0.08568260068364525,F,15.7142857142857
6,W,0.10204081632653061,0.043691267274371184,A,15.7142857142857
6,W,0.10204081632653061,0.043691267274371184,B,15.7142857142857
6,W,0.10204081632653061,0.043691267274371184,C,15.7142857142857
6,W,0.10204081632653061,0.043691267274371184,D,15.7142857142857
6,W,0.10204081632653061,0.043691267274371184,E,15.7142857142857
6,W,0.10204081632653061,0.043691267274371184,F,15.7142857142857
7,C,0.0425531914893617,0.02976079175235044,A,17.7142857142857
7,C,0.0425531914893617,0.02976079175235044,B,17.7142857142857
7,C,0.0425531914893617,0.02976079175235044,C,17.7142857142857
7,C,0.0425531914893617,0.02976079175235044,D,17.7142857142857
7,C,0.0425531914893617,0.02976079175235044,E,17.7142857142857
7,C,0.0425531914893617,0.02976079175235044,F,17.7142857142857
7,W,0.04081632653061224,0.04081632653061224,A,17.7142857142857
7,W,0.04081632653061224,0.04081632653061224,B,17.7142857142857
7,W,0.04081632653061224,0.04081632653061224,C,17.7142857142857
7,W,0.04081632653061224,0.04081632653061224,D,17.7142857142857
7,W,0.04081632653061224,0.04081632653061224,E,17.7142857142857
7,W,0.04081632653061224,0.04081632653061224,F,17.7142857142857
8,C,0.5957446808510638,0.18664865178168208,A,27.2857142857143
8,C,0.5957446808510638,0.18664865178168208,B,27.2857142857143
8,C,0.5957446808510638,0.18664865178168208,C,27.2857142857143
8,C,0.5957446808510638,0.18664865178168208,D,27.2857142857143
8,C,0.5957446808510638,0.18664865178168208,E,27.2857142857143
8,C,0.5957446808510638,0.18664865178168208,F,27.2857142857143
8,W,0.3877551020408163,0.12308508246749815,A,27.2857142857143
8,W,0.3877551020408163,0.12308508246749815,B,27.2857142857143
8,W,0.3877551020408163,0.12308508246749815,C,27.2857142857143
8,W,0.3877551020408163,0.12308508246749815,D,27.2857142857143
8,W,0.3877551020408163,0.12308508246749815,E,27.2857142857143
8,W,0.3877551020408163,0.12308508246749815,F,27.2857142857143
9,C,0.42857142857142855,0.1775522600362181,B,40.5714285714286
9,C,0.42857142857142855,0.1775522600362181,C,40.5714285714286
9,C,0.42857142857142855,0.1775522600362181,D,40.5714285714286
9,C,0.42857142857142855,0.1775522600362181,E,40.5714285714286
9,C,0.42857142857142855,0.1775522600362181,F,40.5714285714286
9,C,0.42857142857142855,0.1775522600362181,A,40.5714285714286
9,W,0.2553191489361702,0.12342658256024285,B,40.5714285714286
9,W,0.2553191489361702,0.12342658256024285,C,40.5714285714286
9,W,0.2553191489361702,0.12342658256024285,D,40.5714285714286
9,W,0.2553191489361702,0.12342658256024285,E,40.5714285714286
9,W,0.2553191489361702,0.12342658256024285,F,40.5714285714286
9,W,0.2553191489361702,0.12342658256024285,A,40.5714285714286
10,C,0.3170731707317073,0.1280197411903484,A,48.2857142857143
10,C,0.3170731707317073,0.1280197411903484,B,48.2857142857143
10,C,0.3170731707317073,0.1280197411903484,C,48.2857142857143
10,C,0.3170731707317073,0.1280197411903484,D,48.2857142857143
10,C,0.3170731707317073,0.1280197411903484,E,48.2857142857143
10,C,0.3170731707317073,0.1280197411903484,F,48.2857142857143
10,W,0.24444444444444444,0.10128246109175858,A,48.2857142857143
10,W,0.24444444444444444,0.10128246109175858,B,48.2857142857143
10,W,0.24444444444444444,0.10128246109175858,C,48.2857142857143
10,W,0.24444444444444444,0.10128246109175858,D,48.2857142857143
10,W,0.24444444444444444,0.10128246109175858,E,48.2857142857143
10,W,0.24444444444444444,0.10128246109175858,F,48.2857142857143
10,CC,0.3181818181818182,0.15270098722473827,A,48.2857142857143
10,CC,0.3181818181818182,0.15270098722473827,B,48.2857142857143
10,CC,0.3181818181818182,0.15270098722473827,C,48.2857142857143
10,CC,0.3181818181818182,0.15270098722473827,D,48.2857142857143
10,CC,0.3181818181818182,0.15270098722473827,E,48.2857142857143
10,CC,0.3181818181818182,0.15270098722473827,F,48.2857142857143
10,CW,0.3157894736842105,0.21700555924303475,A,48.2857142857143
10,CW,0.3157894736842105,0.21700555924303475,B,48.2857142857143
10,CW,0.3157894736842105,0.21700555924303475,C,48.2857142857143
10,CW,0.3157894736842105,0.21700555924303475,D,48.2857142857143
