date,block,taxon,total_abund,treatment,tile_id
2020-09-14,B,Telmatogeton_larva,3,CC,29
2020-09-14,D,Telmatogeton_larva,1,WC,62
2020-09-14,A,Telmatogeton_larva,5,CC,16
2020-09-14,D,Telmatogeton_larva,1,WC,63
2020-09-14,F,Telmatogeton_larva,2,CC,84
2020-09-14,F,Amphiphoda,17,CW,95
2020-09-14,E,Amphiphoda,3,CW,78
2020-09-14,C,Amphiphoda,7,WC,40
2020-09-14,A,Amphiphoda,1,WW,14
2020-09-14,C,Amphiphoda,5,CC,47
2020-09-14,C,Amphiphoda,3,WW,33
2020-09-14,D,Amphiphoda,3,CW,59
2020-09-14,E,Amphiphoda,1,WW,80
2020-09-14,B,Amphiphoda,1,CW,19
2020-09-14,C,Amphiphoda,1,WC,39
2020-09-14,A,Amphiphoda,8,CW,11
2020-09-14,B,Amphiphoda,2,CC,29
2020-09-14,A,Amphiphoda,8,WC,5
2020-09-14,A,Amphiphoda,3,CW,8
2020-09-14,E,Amphiphoda,9,CC,72
2020-09-14,B,Amphiphoda,2,WC,24
2020-09-14,C,Amphiphoda,3,CW,37
2020-09-14,A,Amphiphoda,4,CC,7
2020-09-14,A,Amphiphoda,1,WW,4
2020-09-14,D,Amphiphoda,4,WW,55
2020-09-14,F,Amphiphoda,5,WC,90
2020-09-14,E,Amphiphoda,2,WC,71
2020-09-14,D,Amphiphoda,5,WC,62
2020-09-14,A,Amphiphoda,24,CC,16
2020-09-14,A,Amphiphoda,2,WC,6
2020-09-14,C,Amphiphoda,3,CW,48
2020-09-14,D,Amphiphoda,29,WC,63
2020-09-14,F,Amphiphoda,26,CC,84
2020-09-14,D,Amphiphoda,14,CC,54
2020-09-14,A,Anthopleura_elegantissima,1,WC,5
2020-09-14,D,Arachnida,1,CC,54
2020-09-14,C,Cyprid,10,CC,47
2020-09-14,E,Cyprid,3,WW,80
2020-09-14,C,Cyprid,1,WC,39
2020-09-14,C,Cyprid,3,WW,38
2020-09-14,A,Cyprid,5,CW,11
2020-09-14,B,Cyprid,1,CC,29
2020-09-14,E,Cyprid,55,CC,72
2020-09-14,A,Cyprid,3,CC,7
2020-09-14,A,Cyprid,7,WW,4
2020-09-14,D,Cyprid,3,WW,55
2020-09-14,F,Cyprid,5,WC,90
2020-09-14,E,Cyprid,2,WC,71
2020-09-14,C,Cyprid,1,CC,35
2020-09-14,D,Cyprid,2,WC,62
2020-09-14,A,Cyprid,26,CC,16
2020-09-14,C,Cyprid,3,CW,48
2020-09-14,D,Cyprid,4,WC,63
2020-09-14,F,Cyprid,7,CC,84
2020-09-14,D,Cyprid,10,CC,54
2020-09-14,C,Copepoda,3,CC,47
2020-09-14,A,Copepoda,3,CW,11
2020-09-14,B,Copepoda,1,CC,29
2020-09-14,A,Copepoda,3,WC,5
2020-09-14,A,Copepoda,1,CW,8
2020-09-14,D,Copepoda,2,WC,62
2020-09-14,D,Copepoda,1,WC,63
2020-09-14,A,Dynamenella_sheareri,1,CW,11
2020-09-14,E,Dynamenella_sheareri,1,CC,72
2020-09-14,A,Dynamenella_sheareri,1,CC,16
2020-09-14,D,Dynamenella_sheareri,3,WC,63
2020-09-14,F,Dynamenella_sheareri,3,CC,84
2020-09-14,D,Emplectonema_gracile,1,WC,63
2020-09-14,F,Emplectonema_gracile,1,CC,84
2020-09-14,F,Hymenoptera,1,CW,95
2020-09-14,E,Hymenoptera,1,WW,80
2020-09-14,E,Lasaea_rubra,1,CC,72
2020-09-14,F,Lasaea_rubra,1,CC,84
2020-09-14,D,Lottia_sp,1,WC,63
2020-09-14,F,Littorina_scutulata,4,CW,95
2020-09-14,B,Littorina_scutulata,6,WW,31
2020-09-14,E,Littorina_scutulata,34,CW,78
2020-09-14,C,Littorina_scutulata,3,WC,40
2020-09-14,F,Littorina_scutulata,3,WW,82
2020-09-14,C,Littorina_scutulata,14,CC,47
2020-09-14,D,Littorina_scutulata,1,CW,59
2020-09-14,E,Littorina_scutulata,11,WW,80
2020-09-14,B,Littorina_scutulata,3,CW,19
2020-09-14,C,Littorina_scutulata,8,WC,39
2020-09-14,D,Littorina_scutulata,1,WW,64
2020-09-14,C,Littorina_scutulata,7,WW,38
2020-09-14,A,Littorina_scutulata,27,CW,11
2020-09-14,B,Littorina_scutulata,7,CC,29
2020-09-14,A,Littorina_scutulata,2,WC,5
2020-09-14,A,Littorina_scutulata,6,CW,8
2020-09-14,E,Littorina_scutulata,42,CC,72
2020-09-14,B,Littorina_scutulata,9,WC,24
2020-09-14,C,Littorina_scutulata,6,CW,37
2020-09-14,A,Littorina_scutulata,5,CC,7
2020-09-14,F,Littorina_scutulata,3,WC,90
2020-09-14,E,Littorina_scutulata,11,WC,71
2020-09-14,D,Littorina_scutulata,1,CC,58
2020-09-14,C,Littorina_scutulata,8,CC,35
2020-09-14,D,Littorina_scutulata,27,WC,62
2020-09-14,A,Littorina_scutulata,59,CC,16
2020-09-14,A,Littorina_scutulata,1,WC,6
2020-09-14,C,Littorina_scutulata,11,CW,48
2020-09-14,D,Littorina_scutulata,59,WC,63
2020-09-14,F,Littorina_scutulata,57,CC,84
2020-09-14,D,Littorina_scutulata,55,CC,54
2020-09-14,B,Littorina_sitkana,1,WW,31
2020-09-14,E,Littorina_sitkana,18,CW,78
2020-09-14,C,Littorina_sitkana,24,WC,40
2020-09-14,C,Littorina_sitkana,60,CC,47
2020-09-14,C,Littorina_sitkana,4,WW,33
2020-09-14,D,Littorina_sitkana,2,CW,59
2020-09-14,E,Littorina_sitkana,3,WW,80
2020-09-14,B,Littorina_sitkana,2,CW,19
2020-09-14,C,Littorina_sitkana,29,WC,39
2020-09-14,A,Littorina_sitkana,16,CW,11
2020-09-14,B,Littorina_sitkana,7,CC,29
2020-09-14,A,Littorina_sitkana,2,WC,5
2020-09-14,A,Littorina_sitkana,13,CW,8
2020-09-14,E,Littorina_sitkana,91,CC,72
2020-09-14,B,Littorina_sitkana,1,WC,24
2020-09-14,C,Littorina_sitkana,2,CW,37
2020-09-14,F,Littorina_sitkana,1,WC,90
2020-09-14,E,Littorina_sitkana,6,WC,71
2020-09-14,D,Littorina_sitkana,2,CC,58
2020-09-14,C,Littorina_sitkana,3,CC,35
2020-09-14,D,Littorina_sitkana,1,WC,62
2020-09-14,A,Littorina_sitkana,35,CC,16
2020-09-14,C,Littorina_sitkana,81,CW,48
2020-09-14,D,Littorina_sitkana,11,WC,63
2020-09-14,F,Littorina_sitkana,76,CC,84
2020-09-14,D,Littorina_sitkana,51,CC,54
2020-09-14,C,Lottia_digitalis,1,CW,37
2020-09-14,C,Lottia_paradigitalis,5,WC,40
2020-09-14,D,Lottia_paradigitalis,6,CW,59
2020-09-14,C,Lottia_paradigitalis,7,WC,39
2020-09-14,C,Lottia_paradigitalis,4,WW,38
2020-09-14,A,Lottia_paradigitalis,4,CW,11
2020-09-14,B,Lottia_paradigitalis,1,CC,29
2020-09-14,A,Lottia_paradigitalis,4,WC,5
2020-09-14,E,Lottia_paradigitalis,1,CC,72
2020-09-14,C,Lottia_paradigitalis,4,CW,37
2020-09-14,A,Lottia_paradigitalis,2,CC,7
2020-09-14,A,Lottia_paradigitalis,1,WW,4
2020-09-14,D,Lottia_paradigitalis,1,WW,55
2020-09-14,E,Lottia_paradigitalis,1,WC,71
2020-09-14,D,Lottia_paradigitalis,9,CC,58
2020-09-14,C,Lottia_paradigitalis,2,CC,35
2020-09-14,D,Lottia_paradigitalis,4,WC,62
2020-09-14,A,Lottia_paradigitalis,8,CC,16
2020-09-14,A,Lottia_paradigitalis,3,WC,6
2020-09-14,C,Lottia_paradigitalis,2,CW,48
2020-09-14,D,Lottia_paradigitalis,5,WC,63
2020-09-14,F,Lottia_paradigitalis,3,CC,84
2020-09-14,D,Lottia_paradigitalis,2,CC,54
2020-09-14,A,Lottia_pelta,1,WC,5
2020-09-14,C,Mytilus_sp,3,CC,47
2020-09-14,D,Mytilus_sp,1,CW,59
2020-09-14,E,Mytilus_sp,1,WW,80
2020-09-14,A,Mytilus_sp,2,CW,11
2020-09-14,B,Mytilus_sp,1,CC,29
2020-09-14,A,Mytilus_sp,2,WC,5
2020-09-14,E,Mytilus_sp,2,CC,72
2020-09-14,B,Mytilus_sp,3,WC,24
2020-09-14,A,Mytilus_sp,1,WW,4
2020-09-14,D,Mytilus_sp,1,WW,55
2020-09-14,A,Mytilus_sp,9,CC,16
2020-09-14,A,Mytilus_sp,1,WC,6
2020-09-14,C,Mytilus_sp,2,CW,48
2020-09-14,D,Mytilus_sp,6,WC,63
2020-09-14,F,Mytilus_sp,15,CC,84
2020-09-14,D,Mytilus_sp,7,CC,54
2020-09-14,A,Nemertea,1,CW,11
2020-09-14,D,Oedoparena_sp,2,CC,54
2020-09-14,A,Onchidoris_bilamellata,1,CC,16
2020-09-14,D,Pagurus_hirsutiusculus,1,WC,63
2020-09-14,A,Polychaeta,1,WW,14
2020-09-14,D,Polychaeta,2,CC,54
2020-09-14,E,Sabellidae,1,CC,72
2021-02-24,A,NA,0,WW,3
2021-02-24,F,NA,0,WW,93
2021-02-24,F,NA,0,WW,88
2021-02-24,B,Telmatogeton_larva,1,WC,17
2021-02-24,B,Amphiphoda,3,WC,17
2021-02-24,D,Amphiphoda,8,WC,60
2021-02-24,E,Amphiphoda,2,CW,77
2021-02-24,E,Amphiphoda,1,CW,76
2021-02-24,F,Amphiphoda,7,WC,86
2021-02-24,D,Amphiphoda,3,WC,57
2021-02-24,F,Amphiphoda,4,WC,85
2021-02-24,E,Amphiphoda,34,CC,73
2021-02-24,A,Amphiphoda,1,CC,2
2021-02-24,A,Amphiphoda,4,CW,12
2021-02-24,C,Amphiphoda,5,CW,46
2021-02-24,F,Amphiphoda,5,CC,92
2021-02-24,C,Amphiphoda,7,CC,41
2021-02-24,D,Amphiphoda,1,CC,53
2021-02-24,F,Amphiphoda,1,CW,83
2021-02-24,E,Amphiphoda,6,CC,74
2021-02-24,B,Amphiphoda,1,WC,22
2021-02-24,B,Amphiphoda,1,WW,18
2021-02-24,C,Amphiphoda,1,WC,36
2021-02-24,B,Amphiphoda,1,WW,30
2021-02-24,E,Amphiphoda,1,WC,68
2021-02-24,F,Amphiphoda,2,CC,91
2021-02-24,D,Amphiphoda,7,CC,49
2021-02-24,D,Amphiphoda,4,CC,50
2021-02-24,D,Annelida,2,CC,50
2021-02-24,E,Lasaea_rubra,2,CC,73
2021-02-24,E,Lasaea_rubra,2,CC,74
2021-02-24,B,Cyprid,2,WC,17
2021-02-24,D,Copepoda,3,WC,60
2021-02-24,B,Copepoda,1,CC,20
2021-02-24,D,Cyprid,29,WC,60
2021-02-24,E,Cyprid,1,CW,77
